,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,BLOCK,PLAN,DISTRICT_LOT,LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_IMPROVEMENT_VALUE,PREVIOUS_LAND_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
30124,010-132-961,LAND,230750600000,23075060,RS-1,One Family Dwelling,1,VAP8370,715,L,,5838.0,KNIGHT ST,V5P 2V3,,ICT LOT 715  NEW WESTMINSTER,LOT L  BLOCK 1  PLAN VAP8370  DISTR,,,1183000.0,107000.0,2021.0,107000.0,1059000.0,1963.0,1985.0,,19,2021
2756,030-254-205,STRATA,138614060143,13861406,CD-1 (571),,115,EPS3808,541,143,2703,1310.0,RICHARDS ST,V6B 0P9,HER WITH AN INTEREST IN THE COMMON,"ISTRICT LOT 541  NWD GROUP 1, TOGET",LOT 143  BLOCK 115  PLAN EPS3808  D,PROPERTY IN PROPORTION TO THE UNIT,ENTITLEMENT OF THE STRATA LOT AS SH,476000.0,230000.0,2021.0,225000.0,455000.0,2017.0,2017.0,,29,2021
113699,015-252-582,LAND,655210290000,65521029,RT-5,Two Family Dwelling,157,VAP486,264A,20,,729.0,10TH AVE E,V5T 2A8,771.,TRICT LOT 264A  NWD OF LOT A & PL 1,LOT 20  BLOCK 157  PLAN VAP486  DIS,,,1463000.0,172000.0,2021.0,144000.0,1320000.0,1927.0,1995.0,,13,2021
160261,003-299-228,STRATA,643198060035,64319806,RM-4,Multiple Family Dwelling,,VAS80,264A,35,212,440.0,5TH AVE E,V5T 1N5,SHARE IN COM PROP THEREIN.,4A  NEW WESTMINSTER UNDIV 122/5150,LOT 35  PLAN VAS80  DISTRICT LOT 26,,,713000.0,58800.0,2021.0,61300.0,682000.0,1972.0,1972.0,,13,2021
139483,030-351-090,STRATA,596212670001,59621267,RT-3,Two Family Dwelling,,EPS3990,181,1,,869.0,GEORGIA ST E,V6A 2A4,NTEREST IN THE COMMON PROPERTY IN P,"81  NWD GROUP 1, TOGETHER WITH AN I",LOT 1  PLAN EPS3990  DISTRICT LOT 1,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,558000.0,185000.0,2021.0,179000.0,542000.0,2016.0,2017.0,,13,2021
213074,005-844-231,STRATA,648150570013,64815057,FM-1,Multiple Family Dwelling,,VAS1797,526,13,201,953.0,8TH AVE W,V5Z 1E4,SHARE IN COM PROP THEREIN.,526  NEW WESTMINSTER UNDIV 78/2357,LOT 13  PLAN VAS1797  DISTRICT LOT,,,534000.0,133000.0,2021.0,133000.0,525000.0,1986.0,1986.0,,7,2021
162072,015-259-455,LAND,577274230000,57727423,RS-1,One Family Dwelling,3,VAP479,THSL,B,,2625.0,OXFORD ST,V5K 1N2,,CT LOT THSL  NEW WESTMINSTER,LOT B  BLOCK 3  PLAN VAP479  DISTRI,,,2331000.0,10000.0,2021.0,10000.0,2211000.0,1912.0,1975.0,,20,2021
181242,023-190-558,STRATA,839241980006,83924198,CD-1 (268),Comprehensive Development,,LMS2113,328,6,106,1880.0,KENT AVENUE SOUTH E,V5P 2S7,R WITH AN INTEREST IN THE COMMON PR,"28  NWD GROUP 1, & DL 7826, TOGETHE",LOT 6  PLAN LMS2113  DISTRICT LOT 3,OPERTY IN PROPORTION TO THE UNIT EN,TITLEMENT OF THE STRATA LOT AS SHOW,437000.0,176000.0,2021.0,181000.0,426000.0,1995.0,1995.0,,18,2021
214461,014-599-945,LAND,703150450000,70315045,RS-5,One Family Dwelling,596,VAP1497,472,28,,963.0,22ND AVE W,V5Z 2A2,,STRICT LOT 472  NEW WESTMINSTER,LOT 28  BLOCK 596  PLAN VAP1497  DI,,,2275000.0,32300.0,2021.0,34000.0,2100000.0,1922.0,1965.0,,9,2021
149784,006-510-108,STRATA,626090050001,62609005,RT-9,Two Family Dwelling,,VAS1415,526,1,,1158.0,ARBUTUS ST,V6J 3W5,0 SHARE IN COM PROP THEREIN.,26  NEW WESTMINSTER UNDIV 2366/1000,LOT 1  PLAN VAS1415  DISTRICT LOT 5,,,1586000.0,153000.0,2021.0,213000.0,1429000.0,1984.0,1984.0,,2,2021
165518,014-080-923,LAND,722304600000,72230460,RS-1,One Family Dwelling,68,VAP2053,37,9,,3358.0,EUCLID AVE,V5R 5G2,,RICT LOT 37  NWD ...& BLKS 71 & 72.,LOT 9  BLOCK 68  PLAN VAP2053  DIST,,,1218000.0,95200.0,2021.0,97600.0,1096000.0,1973.0,1973.0,,23,2021
211986,011-074-345,LAND,641250260000,64125026,RT-5,Two Family Dwelling,153,5818,264A,L,,1722.0,6TH AVE E,V5N 1P5,E OF LOTS 3 TO 5.,CT LOT 264A  NWD EXC S 5 FT NOW LAN,LOT L  BLOCK 153  PLAN 5818  DISTRI,,,1486000.0,20800.0,2021.0,21300.0,1403000.0,1928.0,1960.0,,14,2021
85696,003-502-881,LAND,790197240000,79019724,RS-1,One Family Dwelling,17,VAP10540,650,C,,428.0,49TH AVE E,V5W 2G9,,TRICT LOT 650  NWD PART N 1/2.,LOT C  BLOCK 17  PLAN VAP10540  DIS,,,1516000.0,218000.0,2021.0,232000.0,1443000.0,1986.0,1986.0,,17,2021
113695,029-539-421,STRATA,684179630001,68417963,RT-6,Two Family Dwelling,,EPS2487,526,1,1,123.0,14TH AVE W,V5Y 1W8,NTEREST IN THE COMMON PROPERTY IN P,"26  NWD GROUP 1, TOGETHER WITH AN I",LOT 1  PLAN EPS2487  DISTRICT LOT 5,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,1694000.0,397000.0,2021.0,392000.0,1529000.0,2015.0,2015.0,,13,2021
200818,028-295-153,STRATA,636179940092,63617994,CD-1 (454),Comprehensive Development,,BCS3906,FC,92,801,122.0,WALTER HARDWICK AVE,V5Y 0C9,N THE COMMON PROPERTY IN PROPORTION,FC  NWD TOGETHER WITH AN INTEREST I,LOT 92  PLAN BCS3906  DISTRICT LOT,TO THE UNIT ENTITLEMENT OF THE STR,"ATA LOT AS SHOWN ON FORM 1 OR V, AS",83600.0,35200.0,2021.0,34400.0,76900.0,2010.0,2010.0,,13,2021
199408,026-588-358,STRATA,316718080180,31671808,CD-1 (314),Comprehensive Development,,BCS1721,36,180,1810,5380.0,OBEN ST,V5R 6H7,,36  NEW WESTMINSTER GROUP 1.,LOT 180  PLAN BCS1721  DISTRICT LOT,,,329000.0,137000.0,2021.0,135000.0,297000.0,2005.0,2005.0,,23,2021
11344,013-839-616,LAND,233793620000,23379362,RS-1,One Family Dwelling,2,VAP2373,737,10,,6820.0,DUMFRIES ST,V5P 3B9,,RICT LOT 737  NEW WESTMINSTER,LOT 10  BLOCK 2  PLAN VAP2373  DIST,,,1325000.0,347000.0,2021.0,354000.0,1195000.0,1999.0,1999.0,,17,2021
61142,006-027-849,LAND,130750970000,13075097,RS-3,One Family Dwelling,5,VAP5701,526,5,,5889.0,GRANVILLE ST,V6M 3C8,4.,"ICT LOT 526  NWD OF LOT 2, OF BLK 1",LOT 5  BLOCK 5  PLAN VAP5701  DISTR,,,2654000.0,118000.0,2021.0,125000.0,2496000.0,1928.0,1965.0,,10,2021
241,024-809-543,STRATA,170758960003,17075896,CD-1 (394),Comprehensive Development,,LMS4210,526,3,,485.0,46TH AVE W,V5Y 2X4,8 SHARE IN COMMON PROP THEREIN.,26  NEW WESTMINSTER UNDIV 1347/2137,LOT 3  PLAN LMS4210  DISTRICT LOT 5,,,968000.0,256000.0,2021.0,254000.0,970000.0,2000.0,2000.0,,11,2021
133331,026-829-479,STRATA,130595020303,13059502,CD-1 (414),Comprehensive Development,,BCS2044,541,303,2302,610.0,GRANVILLE ST,V6C 3T3,,541  NEW WESTMINSTER GROUP 1.,LOT 303  PLAN BCS2044  DISTRICT LOT,,,518000.0,173000.0,2021.0,169000.0,496000.0,2006.0,2006.0,,26,2021
39364,004-601-718,LAND,790135970000,79013597,RS-1,One Family Dwelling,10,VAP6044,526,9,,6483.0,HUDSON ST,V6M 2Z9,,RICT LOT 526  NWD OF LOT 4.,LOT 9  BLOCK 10  PLAN VAP6044  DIST,,,2408000.0,831000.0,2021.0,840000.0,2306000.0,1995.0,1996.0,,10,2021
16948,009-746-846,LAND,75715730000,7571573,RS-1,One Family Dwelling,565,VAP9119,526,15,,2488.0,EDGAR CRES,V6L 2G4,,STRICT LOT 526  NEW WESTMINSTER,LOT 15  BLOCK 565  PLAN VAP9119  DI,,,3036000.0,61000.0,2021.0,60000.0,2759000.0,1955.0,1955.0,,4,2021
6665,025-204-190,STRATA,161606550156,16160655,CD-1 (324),Comprehensive Development,,LMS4555,FC,156,2808,1033.0,MARINASIDE CRES,V6Z 3A3,"STRICT, TOGETHER WITH AN INTEREST I","ICT LOT FC, NEW WESTMINSTER LAND DI","STRATA LOT 156, PLAN LMS4555, DISTR",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,1039000.0,383000.0,2021.0,384000.0,1058000.0,2002.0,2002.0,,30,2021
209800,023-368-659,STRATA,156606740002,15660674,HA-3,Historic Area,,LMS2333,541,2,,1076.0,MAINLAND ST,V6B 2T4,SHARE IN COM PROP THEREIN.,41  NEW WESTMINSTER UNDIV 529/41675,LOT 2  PLAN LMS2333  DISTRICT LOT 5,,,984000.0,85800.0,2021.0,86800.0,979000.0,1912.0,1988.0,,29,2021
187062,011-499-982,LAND,319754240000,31975424,RS-1,One Family Dwelling,14,VAP4543,36,4,,5892.0,ORMIDALE ST,V5R 4R3,,"RICT LOT 36  NWD OF LOT A, & DL 49.",LOT 4  BLOCK 14  PLAN VAP4543  DIST,,,1323000.0,342000.0,2021.0,337000.0,1221000.0,2004.0,2004.0,,24,2021
24071,013-173-308,LAND,830212210000,83021221,RS-1,One Family Dwelling,A,VAP3089,327,15,,829.0,MARINE DR SE,V5X 2V2,DY LOT 5 TO 8.,RICT LOT 327  NEW WESTMINSTER SUBSI,LOT 15  BLOCK A  PLAN VAP3089  DIST,,,993000.0,160000.0,2021.0,161000.0,899000.0,1968.0,1990.0,,17,2021
114434,028-131-754,STRATA,589119870161,58911987,CD-1 (363),Comprehensive Development,,BCS3699,TPHBI,161,4405,1011.0,CORDOVA ST W,V6C 0B2,ST IN THE COMMON PROPERTY IN PROPOR,TPHBI  NWD TOGETHER WITH AN INTERE,LOT 161  PLAN BCS3699  DISTRICT LOT,TION TO THE UNIT ENTITLEMENT OF THE,STRATA LOT AS SHOWN ON FORM V.,3131000.0,551000.0,2021.0,539000.0,3182000.0,2010.0,2010.0,,28,2021
108729,027-606-848,STRATA,670191080001,67019108,RM-4N,Multiple Family Dwelling,,BCS3038,301,1,,218.0,12TH AVE E,V5T 2G9,NTEREST IN THE COMMON PROPERTY IN P,"01  NWD GROUP 1, TOGETHER WITH AN I",LOT 1  PLAN BCS3038  DISTRICT LOT 3,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,714000.0,218000.0,2021.0,225000.0,671000.0,2008.0,2008.0,,13,2021
34305,008-351-775,LAND,718165040000,71816504,RS-1,One Family Dwelling,760,VAP6960,526,1,,590.0,29TH AVE W,V5Z 2H7,,TRICT LOT 526  NEW WESTMINSTER,LOT 1  BLOCK 760  PLAN VAP6960  DIS,,,3136000.0,574000.0,2021.0,581000.0,3093000.0,1993.0,1995.0,,9,2021
198379,018-173-144,STRATA,304715340031,30471534,CD-1 (222),Comprehensive Development,,LMS784,51,31,310,3480.0,YARDLEY AVE,V5R 6B3,SHARE IN COM PROP THEREIN.,1  NEW WESTMINSTER UNDIV 568/51613,LOT 31  PLAN LMS784  DISTRICT LOT 5,,,335000.0,85600.0,2021.0,88500.0,319000.0,1992.0,1992.0,,23,2021
188521,028-786-602,STRATA,589118930025,58911893,CD-1 (364),Comprehensive Development,,EPS677,,25,1001,277.0,THURLOW ST,V6C 0C1,N INTEREST IN THE COMMON PROPERTY I,"BOUR BURRARD INLET, TOGETHER WITH A",LOT 25  PLAN EPS677  NWD PUBLIC HAR,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,5235000.0,1668000.0,2021.0,1631000.0,5442000.0,2012.0,2012.0,,28,2021
115793,027-923-525,STRATA,172595030231,17259503,CD-1 (265),Comprehensive Development,,BCS3437,,231,1003,188.0,KEEFER PL,V6B 0J1,WITH AN INTEREST IN THE COMMON PRO,"LOT FALSE CREEK, GROUP 1, TOGETHER",LOT 231  PLAN BCS3437  NWD DISTRICT,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,633000.0,212000.0,2021.0,209000.0,603000.0,2009.0,2009.0,,26,2021
149536,013-022-202,LAND,284770140000,28477014,RS-1,One Family Dwelling,13,VAP3260,50,5,,5412.0,KILLARNEY ST,V5R 3W2,,RICT LOT 50  NWD PART NW 1/4.,LOT 5  BLOCK 13  PLAN VAP3260  DIST,,,1298000.0,122000.0,2021.0,126000.0,1108000.0,1973.0,1980.0,,23,2021
19785,025-479-954,STRATA,138604990205,13860499,DD,Comprehensive Development,,LMS4383,541,205,903,969.0,RICHARDS ST,V6B 1A8,"ER LAND DISTRICT, TOGETHER WITH AN","ICT LOT 541, GROUP 1, NEW WESTMINST","STRATA LOT 205, PLAN LMS4383, DISTR",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,433000.0,216000.0,2021.0,212000.0,384000.0,2002.0,2002.0,,29,2021
107699,011-093-579,LAND,72710150000,7271015,RS-1,One Family Dwelling,H,VAP5702,2027,,,4309.0,PUGET DR,,DEDICATED AS PARKS BY DEPOSIT OF.,"2027  NWD GROUP 1, THOSE PORTIONS",BLOCK H  PLAN VAP5702  DISTRICT LOT,,,3259000.0,0.0,2021.0,0.0,3051000.0,,,,4,2021
71680,011-903-651,STRATA,151843510001,15184351,M-2,Industrial,,VAS2232,319,1,,9205.0,SHAUGHNESSY ST,V6P 6R5,SHARE IN COM PROP THEREIN.,19  NEW WESTMINSTER UNDIV 121/2361,LOT 1  PLAN VAS2232  DISTRICT LOT 3,,,1174000.0,157000.0,2021.0,161000.0,1170000.0,1988.0,1988.0,,18,2021
95666,024-915-629,STRATA,636120660030,63612066,CD-1 (389),Comprehensive Development,,LMS4328,526,30,,1730.0,2ND AVE W,V6J 1H6,WITH AN INTEREST IN THE COMMON PROP,CT LOT 526  NWD  GROUP 1  TOGETHER,STRATA LOT 30  PLAN LMS4328  DISTRI,ERTY IN PROPORTION TO THE UNIT ENTI,TLEMENT OF THE STRATA LOT AS SHOWN,16000.0,9900.0,2021.0,10500.0,15400.0,2001.0,2001.0,,7,2021
60967,011-149-868,LAND,732090540000,73209054,RS-5,One Family Dwelling,20,VAP5508,526,14,,2030.0,QUILCHENA CRES,V6M 1E3,,TRICT LOT 526  NWD OF LOT B.,LOT 14  BLOCK 20  PLAN VAP5508  DIS,,,2043000.0,38500.0,2021.0,41400.0,1982000.0,1949.0,1955.0,,5,2021
192545,023-755-458,STRATA,161612980101,16161298,CD-1 (297),Comprehensive Development,,LMS2781,FC,101,120,1228.0,MARINASIDE CRES,V6Z 2W4,"R LAND DISTRICT, TOGETHER WITH AN I","ICT LOT FC, GROUP 1, NEW WESTMINSTE","STRATA LOT 101, PLAN LMS2781, DISTR",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,1973000.0,664000.0,2021.0,665000.0,2006000.0,1997.0,1997.0,,30,2021
129482,023-409-428,STRATA,592134050130,59213405,CD-1 (316),Comprehensive Development,,LMS2371,541,130,810,438.0,SEYMOUR ST,V6B 6H4,7 SHARE IN COM PROP THEREIN.,541  NEW WESTMINSTER UNDIV 45/1586,LOT 130  PLAN LMS2371  DISTRICT LOT,,,314000.0,148000.0,2021.0,146000.0,307000.0,1996.0,1996.0,,26,2021
182141,028-247-990,STRATA,184634950130,18463495,CD-1 (454),Comprehensive Development,,BCS3859,FC,130,601,1633.0,ONTARIO ST,V5Y 0C2,"STRICT, TOGETHER WITH AN INTEREST I","ICT LOT FC, NEW WESTMINSTER LAND DI","STRATA LOT 130, PLAN BCS3859, DISTR",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,980000.0,302000.0,2021.0,299000.0,939000.0,2009.0,2009.0,,13,2021
47342,013-624-962,LAND,263790380000,26379038,RS-1,One Family Dwelling,3,VAP2580,336,14,,6592.0,BERKELEY ST,V5S 2J6,"P 1, OF LOT B.","RICT LOT 336  NWD PART SW 1/4, GROU",LOT 14  BLOCK 3  PLAN VAP2580  DIST,,,1382000.0,353000.0,2021.0,351000.0,1226000.0,2005.0,2005.0,,24,2021
115140,006-775-063,LAND,694292850000,69429285,RS-1,One Family Dwelling,F,VAP11660,THSL,17,,3189.0,19TH AVE E,V5M 2T2,TMINSTER,AP11660  DISTRICT LOT THSL  NEW WES,LOT 17  BLOCK F  SECTION 42  PLAN V,,,1196000.0,29700.0,2021.0,29100.0,1115000.0,1948.0,1948.0,,22,2021
84025,013-980-700,LAND,300715190000,30071519,RS-1,One Family Dwelling,29,VAP2197,36,11,,4727.0,RUPERT ST,V5R 2J5,"30 TO 36, & DL 51.","TRICT LOT 36  NWD OF LOT B, & BLKS",LOT 11  BLOCK 29  PLAN VAP2197  DIS,,,1099000.0,113000.0,2021.0,116000.0,964000.0,1974.0,1980.0,,23,2021
177776,005-399-084,LAND,197821240000,19782124,RS-1,One Family Dwelling,4,VAP7521,313,25,,7980.0,PRINCE EDWARD ST,V5X 3R6,,RICT LOT 313  NWD & BLK 5.,LOT 25  BLOCK 4  PLAN VAP7521  DIST,,,1371000.0,607000.0,2021.0,337000.0,1184000.0,1993.0,1999.0,,17,2021
94882,013-163-817,LAND,40739050000,4073905,RS-5,One Family Dwelling,22,VAP3106,2027,15,,5305.0,DUNBAR ST,V6N 1W2,,TRICT LOT 2027  NEW WESTMINSTER,LOT 15  BLOCK 22  PLAN VAP3106  DIS,,,1619000.0,27500.0,2021.0,29800.0,1487000.0,1949.0,1949.0,,3,2021
74283,025-649-949,STRATA,190750050040,19075005,C-2,Commercial,,BCS354,643,40,410,189.0,ONTARIO PL,V5W 4C6,49/2133 SHARE IN COM PROP THEREIN.,"43  NEW WESTMINSTER GROUP 1, UNDIV",LOT 40  PLAN BCS354  DISTRICT LOT 6,,,281000.0,116000.0,2021.0,115000.0,341000.0,2003.0,2003.0,,16,2021
215027,030-079-861,STRATA,592235650010,59223565,MC-1,Industrial,,EPS3561,183,10,307,1647.0,PENDER ST E,V5L 1W2,INTEREST IN THE COMMON PROPERTY IN,"183  NWD GROUP 1, TOGETHER WITH AN",LOT 10  PLAN EPS3561  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,645000.0,256000.0,2021.0,251000.0,602000.0,2017.0,2017.0,,14,2021
59908,029-101-182,STRATA,638179200177,63817920,CD-1 (462),Comprehensive Development,,EPS1384,200A,177,564,108.0,1ST AVE W,V5Y 0H4,N INTEREST IN THE COMMON PROPERTY I,"200A  NWD GROUP 1, TOGETHER WITH A",LOT 177  PLAN EPS1384  DISTRICT LOT,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,445000.0,216000.0,2021.0,212000.0,443000.0,2013.0,2013.0,,13,2021
209792,029-981-948,STRATA,592190270030,59219027,HA-1,Historic Area,,EPS3098,196,30,503,231.0,PENDER ST E,V6A 0G3,INTEREST IN THE COMMON PROPERTY IN,"196  NWD GROUP 1, TOGETHER WITH AN",LOT 30  PLAN EPS3098  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,360000.0,286000.0,2021.0,281000.0,372000.0,2016.0,2016.0,,26,2021
202387,016-915-305,STRATA,605107240008,60510724,RM-5B,Multiple Family Dwelling,,VAS2827,185,8,401,2088.0,BARCLAY ST,V6G 1L5,0000 SHARE IN COM PROP THEREIN.,85  NEW WESTMINSTER UNDIV 24997/100,LOT 8  PLAN VAS2827  DISTRICT LOT 1,,,1224000.0,437000.0,2021.0,438000.0,1129000.0,1990.0,1990.0,,27,2021
18347,030-140-820,STRATA,750159930046,75015993,CD-1 (578),,,EPS3952,526,46,105,5699.0,BAILLIE ST,V5Z 3M7,INTEREST IN THE COMMON PROPERTY IN,"526  NWD GROUP 1, TOGETHER WITH AN",LOT 46  PLAN EPS3952  DISTRICT LOT,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,422000.0,227000.0,2021.0,222000.0,419000.0,2017.0,2017.0,,9,2021
157741,023-938-111,STRATA,157606020437,15760602,CD-1 (324),Comprehensive Development,,LMS2995,FC,437,2502,1009.0,EXPO BLVD,V6Z 2V9,"STRICT, TOGETHER WITH AN INTEREST I","ICT LOT FC, NEW WESTMINSTER LAND DI","STRATA LOT 437, PLAN LMS2995, DISTR",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,494000.0,218000.0,2021.0,215000.0,469000.0,1997.0,1997.0,,30,2021
214477,010-104-828,LAND,769175870000,76917587,RS-1,One Family Dwelling,5,VAP8386,526,K,,215.0,48TH AVE W,V5Y 2Y9,1000.,"STRICT LOT 526  NWD GROUP 1, OF BLK",LOT K  BLOCK 5  PLAN VAPVAP8386  DI,,,2464000.0,36200.0,2021.0,38800.0,2146000.0,1951.0,1951.0,,11,2021
45294,029-117-054,STRATA,643120040085,64312004,C-3A,Commercial,,EPS808,526,85,304,1777.0,7TH AVE W,V6J 0E5,NTEREST IN THE COMMON PROPERTY IN P,"26  NWD GROUP 1, TOGETHER WITH AN I",LOT 85  PLAN EPS808  DISTRICT LOT 5,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM 1,437000.0,168000.0,2021.0,166000.0,415000.0,2013.0,2013.0,,7,2021
32589,013-166-085,LAND,250741750000,25074175,C-2,Commercial,,VAP3105,,18,,5389.0,VICTORIA DR,V5P 3V6,PT N HLF.,"ER PART N 1/2, DISTRICT LOT 707 CTR",LOT 18  PLAN VAP3105  NEW WESTMINST,,,1553000.0,164100.0,2021.0,180200.0,1553000.0,1913.0,1965.0,,19,2021
63627,004-414-284,LAND,642184440000,64218444,I-1,Light Industrial,23,VAP197,200A,5,,36.0,4TH AVE E,V5T 1E8,P 1 & LOT 4  BLOCK 23  PLAN VAP197,ICT LOT 200A  NWD  PART W 1/2  GROU,LOT 5  BLOCK 23  PLAN VAP197  DISTR,DISTRICT LOT 200A  NWD  GROUP 1  L,OT 4& W HLF OF 5 BLK 23 DL 200A,8110000.0,23400.0,2021.0,22900.0,8110000.0,1916.0,1970.0,,13,2021
175220,030-785-600,STRATA,614124930141,61412493,CD-1 (551),Comprehensive Development,,EPS4792,541,141,1804,1283.0,HOWE ST,,AN INTEREST IN THE COMMON PROPERTY,541  NWD  BCAGROUP 1 TOGETHER WITH,LOT 141  PLAN EPS4792  DISTRICT LOT,IN PROPORTION TO THE UNIT ENTITLEM,ENT OF THE STRATA LOT AS SHOWN ON F,532000.0,210000.0,2021.0,206000.0,509000.0,,,,29,2021
147167,025-480-740,STRATA,138604990284,13860499,DD,Comprehensive Development,,LMS4383,541,284,2002,969.0,RICHARDS ST,V6B 1A8,"ISTRICT, TOGETHER WITH AN INTEREST","ICT LOT 541, NEW WESTMINSTER LAND D","STRATA LOT 284, PLAN LMS4383, DISTR",IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,495000.0,218000.0,2021.0,214000.0,442000.0,2002.0,2002.0,,29,2021
80333,014-693-143,STRATA,643037080037,64303708,RM-4,Multiple Family Dwelling,,VAS2472,176,37,226,3769.0,7TH AVE W,V6R 1W6,6 SHARE IN COM PROP THEREIN.,176  NEW WESTMINSTER UNDIV 776/7608,LOT 37  PLAN VAS2472  DISTRICT LOT,,,599000.0,136000.0,2021.0,137000.0,500000.0,1989.0,1989.0,,1,2021
165148,024-913-171,STRATA,752091110011,75209111,C-2,Commercial,,LMS4317,526,11,306,5790.0,EAST BOULEVARD,V6M 4M4,SHARE IN COM PROP THEREIN.,526  NEW WESTMINSTER UNDIV 119/7144,LOT 11  PLAN LMS4317  DISTRICT LOT,,,594000.0,442000.0,2021.0,435000.0,625000.0,2000.0,2000.0,,5,2021
151573,015-156-583,LAND,590235810000,59023581,MC-2,Industrial,D,VAP729,183,25,,1671.0,HASTINGS ST E,V5L 1S7,.,"ICT LOT 183  NWD GROUP 1, OF LOT 15",LOT 25  BLOCK D  PLAN VAP729  DISTR,,,3358000.0,6700.0,2021.0,6500.0,3650000.0,1923.0,1923.0,,14,2021
186157,019-075-774,STRATA,118603960016,11860396,RM-5B,Multiple Family Dwelling,,LMS1703,185,16,502,888.0,BUTE ST,V6E 1Y5,SHARE IN COM PROP THEREIN.,185  NEW WESTMINSTER UNDIV 81/2229,LOT 16  PLAN LMS1703  DISTRICT LOT,,,523000.0,291000.0,2021.0,288000.0,538000.0,1994.0,1994.0,,27,2021
16095,023-699-060,STRATA,617121940056,61712194,CD-1 (345),Comprehensive Development,,LMS2721,,56,607,910.0,BEACH AVE,V6Z 2W7,408/31474 SHARE IN COM PROP THEREIN,"ER DISTRICT LOT FALSE CREEK, UNDIV",LOT 56  PLAN LMS2721  NEW WESTMINST,.,,376000.0,136000.0,2021.0,168000.0,374000.0,1997.0,1997.0,,30,2021
152471,014-935-414,LAND,211735350000,21173535,RS-1,One Family Dwelling,2,VAP1209,668,31,,5217.0,CHESTER ST,V5W 3B1,0.,"RICT LOT 668  NWD GROUP 1, TO DL 67",LOT 31  BLOCK 2  PLAN VAP1209  DIST,,,1292000.0,147000.0,2021.0,149000.0,1140000.0,1974.0,1985.0,,16,2021
201526,023-118-911,STRATA,640194940068,64019494,IC-3,Light Industrial,,LMS2039,200A,68,323,350.0,2ND AVE E,V5T 4R8,"ISTRICT, TOGETHER WITH AN INTEREST","CT LOT 200A, NEW WESTMINSTER LAND D","STRATA LOT 68, PLAN LMS2039, DISTRI",IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,465000.0,127000.0,2021.0,128000.0,413000.0,1995.0,1995.0,,13,2021
88536,013-904-116,LAND,235726750000,23572675,RS-1,One Family Dwelling,1,VAP2318,705,16,,4775.0,DUMFRIES ST,V5N 3T7,,RICT LOT 705  NEW WESTMINSTER,LOT 16  BLOCK 1  PLAN VAP2318  DIST,,,1213000.0,77600.0,2021.0,79400.0,1061000.0,1972.0,1980.0,,19,2021
77173,002-706-628,LAND,718135480000,71813548,RS-5,One Family Dwelling,732,VAP6011,526,4,,1338.0,DEVONSHIRE CRES,V6H 2G4,,TRICT LOT 526  NEW WESTMINSTER,LOT 4  BLOCK 732  PLAN VAP6011  DIS,,,3758000.0,583000.0,2021.0,603000.0,3434000.0,1987.0,1987.0,,8,2021
